#Version: 1.0
#Start-Date: 2017-11-21 14:37:14 IST
#Software: Wowza Streaming Engine 4.7.1 build20635
#Date: 2017-11-21
#Fields: date	time	tz	x-event	x-category	x-severity	x-status	x-ctx	x-comment	x-vhost	x-app	x-appinst	x-duration	s-ip	s-port	s-uri	c-ip	c-proto	c-referrer	c-user-agent	c-client-id	cs-bytes	sc-bytes	x-stream-id	x-spos	cs-stream-bytes	sc-stream-bytes	x-sname	x-sname-query	x-file-name	x-file-ext	x-file-size	x-file-length	x-suri	x-suri-stem	x-suri-query	cs-uri-stem	cs-uri-query
2017-11-21	14:37:14	IST	comment	server	INFO	200	-	MediaCasterStreamValidator.init[live/_definst_]: Started	-	-	-	529782.932	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2017-11-21	14:37:14	IST	comment	server	INFO	200	-	ModuleCoreSecurity.onAppStart[live/_definst_]: Publish: AllowedEncoders: securityPublishValidEncoders:Wirecast/|FME/|FMLE/|Wowza GoCoder*|Lavf/|UA Teradek/|KulaByte/|HaivisionKB/|VidBlaster/|XSplit/|PESA|makitoX/|Elemental Live/	-	-	-	529782.967	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2017-11-21	14:37:14	IST	comment	server	INFO	200	-	ModuleCoreSecurity.onAppStart[live/_definst_]: Publish: block duplicate stream names : false	-	-	-	529782.968	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2017-11-21	14:37:14	IST	comment	server	INFO	200	-	ModuleCoreSecurity.onAppStart[live/_definst_]: Publish: RTMP Authorization: password file:C:\Program Files (x86)\Wowza Media Systems\Wowza Streaming Engine 4.7.1\conf\publish.password	-	-	-	529782.969	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2017-11-21	14:37:14	IST	comment	server	INFO	200	-	ModuleCoreSecurity.onAppStart[live/_definst_]: Play: Max Connections: securityPlayMaximumConnections:100	-	-	-	529782.97	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2017-11-21	14:37:14	IST	comment	server	INFO	200	-	ModuleCoreSecurity.onAppStart[live/_definst_]: Play: SecureConnection: securityPlayRequireSecureConnection:false	-	-	-	529782.971	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2017-11-21	14:37:14	IST	comment	server	INFO	200	-	ModuleCoreSecurity.onAppStart[live/_definst_]: Play: securitySecureTokenVersion property is missing, using SecureToken Version 1, play security enabled for RTMP only	-	-	-	529782.971	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2017-11-21	14:37:14	IST	comment	server	INFO	200	-	ModuleRTMPAuthenticate.onAppStart: SecureToken is off	-	-	-	529782.972	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2017-11-21	14:37:14	IST	comment	server	INFO	200	-	ModuleRTMPAuthenticate.onAppStart: Authorization password file: C:\Program Files (x86)\Wowza Media Systems\Wowza Streaming Engine 4.7.1\conf\publish.password	-	-	-	529782.973	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2017-11-21	14:37:14	IST	app-start	application	INFO	200	_definst_	live/_definst_	-	-	-	529782.98	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2017-11-21	14:37:14	IST	connect-pending	session	INFO	100	192.168.1.2	-	_defaultVHost_	live	_definst_	0.14	[any]	1935	wowz://192.168.1.5:1935/live?authmod=adobe&user=video1	192.168.1.2	wowz	WowzaTransportSDK	Wowza GoCoder SDK/1.0	1338650760	3366	3073	-	-	-	-	-	-	-	-	-	-	-	-	-	wowz://192.168.1.5:1935/live	authmod=adobe&user=video1
2017-11-21	14:37:14	IST	connect	session	INFO	401	192.168.1.2	-	_defaultVHost_	live	_definst_	0.144	[any]	1935	wowz://192.168.1.5:1935/live?authmod=adobe&user=video1	192.168.1.2	wowz	WowzaTransportSDK	Wowza GoCoder SDK/1.0	1338650760	3366	3073	-	-	-	-	-	-	-	-	-	-	-	-	-	wowz://192.168.1.5:1935/live	authmod=adobe&user=video1
2017-11-21	14:37:14	IST	disconnect	session	INFO	200	1338650760	-	_defaultVHost_	live	_definst_	0.159	[any]	1935	wowz://192.168.1.5:1935/live?authmod=adobe&user=video1	192.168.1.2	wowz	WowzaTransportSDK	Wowza GoCoder SDK/1.0	1338650760	3366	3300	-	-	-	-	-	-	-	-	-	-	-	-	-	wowz://192.168.1.5:1935/live	authmod=adobe&user=video1
2017-11-21	14:37:14	IST	connect-pending	session	INFO	100	192.168.1.2	-	_defaultVHost_	live	_definst_	0.014	[any]	1935	wowz://192.168.1.5:1935/live?authmod=adobe&user=video1&challenge=u4mfAg==&response=fBLmI1PDLEWCI6V/ums+rA==&opaque=9Qljiw==	192.168.1.2	wowz	WowzaTransportSDK	Wowza GoCoder SDK/1.0	1226190724	3504	3073	-	-	-	-	-	-	-	-	-	-	-	-	-	wowz://192.168.1.5:1935/live	authmod=adobe&user=video1&challenge=u4mfAg==&response=fBLmI1PDLEWCI6V/ums+rA==&opaque=9Qljiw==
2017-11-21	14:37:14	IST	connect	session	INFO	200	192.168.1.2	-	_defaultVHost_	live	_definst_	0.022	[any]	1935	wowz://192.168.1.5:1935/live?authmod=adobe&user=video1&challenge=u4mfAg==&response=fBLmI1PDLEWCI6V/ums+rA==&opaque=9Qljiw==	192.168.1.2	wowz	WowzaTransportSDK	Wowza GoCoder SDK/1.0	1226190724	3504	3073	-	-	-	-	-	-	-	-	-	-	-	-	-	wowz://192.168.1.5:1935/live	authmod=adobe&user=video1&challenge=u4mfAg==&response=fBLmI1PDLEWCI6V/ums+rA==&opaque=9Qljiw==
2017-11-21	14:37:14	IST	create	stream	INFO	200	-	-	_defaultVHost_	live	_definst_	0.004	[any]	1935	wowz://192.168.1.5:1935/live?authmod=adobe&user=video1&challenge=u4mfAg==&response=fBLmI1PDLEWCI6V/ums+rA==&opaque=9Qljiw==	192.168.1.2	wowz	WowzaTransportSDK	Wowza GoCoder SDK/1.0	1226190724	3586	3344	1	0	0	0	-	-	-	-	-	-	wowz://192.168.1.5:1935/live	wowz://192.168.1.5:1935/live	-	wowz://192.168.1.5:1935/live	authmod=adobe&user=video1&challenge=u4mfAg==&response=fBLmI1PDLEWCI6V/ums+rA==&opaque=9Qljiw==
